timestamp,temperature,humidity,weather_condition
2024-01-01 00:00:00,19.6,81.12,Humid
2024-01-01 00:15:00,18.0,60.96,Humid
2024-01-01 00:30:00,16.02,49.28,Humid
2024-01-01 00:45:00,8.03,76.73,Windy
2024-01-01 01:00:00,11.68,48.42,Rainy
2024-01-01 01:15:00,5.22,68.87,Humid
2024-01-01 01:30:00,8.52,48.07,Windy
2024-01-01 01:45:00,6.26,58.97,Rainy
2024-01-01 02:00:00,16.39,54.02,Humid
2024-01-01 02:15:00,16.08,68.52,Windy
2024-01-01 02:30:00,10.86,78.47,Windy
2024-01-01 02:45:00,8.13,71.65,Rainy
2024-01-01 03:00:00,11.94,50.85,Cloudy
2024-01-01 03:15:00,16.15,81.85,Rainy
2024-01-01 03:30:00,17.9,74.62,Rainy
2024-01-01 03:45:00,11.07,88.92,Rainy
2024-01-01 04:00:00,6.39,40.85,Cloudy
2024-01-01 04:15:00,19.69,67.33,Sunny
2024-01-01 04:30:00,11.37,68.79,Cloudy
2024-01-01 04:45:00,17.48,85.82,Humid
2024-01-01 05:00:00,17.74,46.62,Humid
2024-01-01 05:15:00,19.75,83.17,Rainy
2024-01-01 05:30:00,17.25,76.43,Cloudy
2024-01-01 05:45:00,7.7,65.2,Windy
2024-01-01 06:00:00,19.11,53.14,Windy
2024-01-01 06:15:00,11.1,82.16,Rainy
2024-01-01 06:30:00,11.01,55.86,Humid
2024-01-01 06:45:00,8.76,63.42,Cloudy
2024-01-01 07:00:00,6.24,77.53,Humid
2024-01-01 07:15:00,15.99,47.55,Sunny
2024-01-01 07:30:00,9.52,76.67,Sunny
2024-01-01 07:45:00,19.82,79.94,Humid
2024-01-01 08:00:00,14.95,87.23,Windy
2024-01-01 08:15:00,6.32,49.41,Cloudy
2024-01-01 08:30:00,13.36,81.45,Windy
2024-01-01 08:45:00,13.27,49.7,Cloudy
2024-01-01 09:00:00,15.34,63.61,Sunny
2024-01-01 09:15:00,9.76,82.43,Humid
2024-01-01 09:30:00,11.87,52.28,Sunny
2024-01-01 09:45:00,14.7,63.83,Rainy
2024-01-01 10:00:00,15.76,69.31,Cloudy
2024-01-01 10:15:00,18.88,87.66,Cloudy
2024-01-01 10:30:00,14.84,40.53,Sunny
2024-01-01 10:45:00,12.74,65.4,Humid
2024-01-01 11:00:00,19.87,48.77,Cloudy
2024-01-01 11:15:00,16.02,56.4,Windy
2024-01-01 11:30:00,18.96,66.54,Humid
2024-01-01 11:45:00,17.96,73.15,Rainy
2024-01-01 12:00:00,6.89,41.7,Rainy
2024-01-01 12:15:00,7.63,51.88,Humid
2024-01-01 12:30:00,8.14,53.46,Windy
2024-01-01 12:45:00,16.2,43.74,Windy
2024-01-01 13:00:00,12.14,49.25,Cloudy
2024-01-01 13:15:00,13.54,51.32,Rainy
2024-01-01 13:30:00,11.7,47.15,Cloudy
2024-01-01 13:45:00,14.41,87.24,Sunny
2024-01-01 14:00:00,7.06,55.82,Windy
2024-01-01 14:15:00,5.4,55.33,Humid
2024-01-01 14:30:00,16.37,41.4,Cloudy
2024-01-01 14:45:00,10.08,88.89,Humid
2024-01-01 15:00:00,5.87,80.54,Sunny
2024-01-01 15:15:00,15.64,80.34,Cloudy
2024-01-01 15:30:00,18.93,42.83,Windy
2024-01-01 15:45:00,17.33,66.05,Cloudy
2024-01-01 16:00:00,11.32,48.64,Humid
2024-01-01 16:15:00,6.35,83.29,Cloudy
2024-01-01 16:30:00,7.82,48.5,Cloudy
2024-01-01 16:45:00,17.38,44.62,Rainy
2024-01-01 17:00:00,9.24,89.26,Windy
2024-01-01 17:15:00,9.7,61.39,Rainy
2024-01-01 17:30:00,12.05,71.91,Humid
2024-01-01 17:45:00,15.97,42.02,Sunny
2024-01-01 18:00:00,5.38,58.8,Cloudy
2024-01-01 18:15:00,13.06,69.16,Windy
2024-01-01 18:30:00,12.0,64.45,Humid
2024-01-01 18:45:00,10.8,60.04,Windy
2024-01-01 19:00:00,5.46,45.01,Sunny
2024-01-01 19:15:00,9.4,60.16,Windy
2024-01-01 19:30:00,16.69,80.8,Cloudy
2024-01-01 19:45:00,7.44,76.95,Humid
2024-01-01 20:00:00,5.24,75.48,Windy
2024-01-01 20:15:00,12.86,79.0,Humid
2024-01-01 20:30:00,10.96,58.97,Humid
2024-01-01 20:45:00,6.23,48.6,Sunny
2024-01-01 21:00:00,17.48,80.32,Sunny
2024-01-01 21:15:00,17.2,40.92,Humid
2024-01-01 21:30:00,7.8,74.5,Windy
2024-01-01 21:45:00,17.02,70.11,Rainy
2024-01-01 22:00:00,15.01,73.67,Cloudy
2024-01-01 22:15:00,10.73,85.74,Rainy
2024-01-01 22:30:00,10.7,61.62,Rainy
2024-01-01 22:45:00,7.05,62.29,Rainy
2024-01-01 23:00:00,18.39,74.3,Humid
2024-01-01 23:15:00,17.78,82.3,Cloudy
2024-01-01 23:30:00,19.77,75.32,Sunny
2024-01-01 23:45:00,19.93,55.47,Windy
2024-01-02 00:00:00,15.56,73.54,Sunny
2024-01-02 00:15:00,8.38,77.99,Windy
2024-01-02 00:30:00,15.89,56.27,Humid
2024-01-02 00:45:00,5.05,58.08,Rainy
2024-01-02 01:00:00,11.96,68.03,Humid
2024-01-02 01:15:00,9.86,42.73,Windy
2024-01-02 01:30:00,12.28,61.03,Cloudy
2024-01-02 01:45:00,11.66,62.58,Cloudy
2024-01-02 02:00:00,10.97,67.19,Rainy
2024-01-02 02:15:00,8.21,57.95,Windy
2024-01-02 02:30:00,5.77,86.61,Cloudy
2024-01-02 02:45:00,14.53,66.48,Rainy
2024-01-02 03:00:00,5.9,71.86,Windy
2024-01-02 03:15:00,15.2,67.5,Cloudy
2024-01-02 03:30:00,17.13,82.89,Cloudy
2024-01-02 03:45:00,7.54,42.96,Sunny
2024-01-02 04:00:00,6.54,73.79,Humid
2024-01-02 04:15:00,10.81,57.55,Rainy
2024-01-02 04:30:00,14.67,87.48,Cloudy
2024-01-02 04:45:00,18.24,43.56,Humid
2024-01-02 05:00:00,6.84,78.69,Windy
2024-01-02 05:15:00,19.86,61.69,Rainy
2024-01-02 05:30:00,17.62,51.71,Cloudy
2024-01-02 05:45:00,7.86,55.05,Cloudy
2024-01-02 06:00:00,18.66,40.81,Cloudy
2024-01-02 06:15:00,15.88,55.85,Humid
2024-01-02 06:30:00,19.48,64.38,Sunny
2024-01-02 06:45:00,15.17,81.59,Cloudy
2024-01-02 07:00:00,11.84,49.4,Humid
2024-01-02 07:15:00,18.95,62.52,Windy
2024-01-02 07:30:00,8.89,44.21,Sunny
2024-01-02 07:45:00,6.5,43.34,Rainy
2024-01-02 08:00:00,9.42,88.43,Rainy
2024-01-02 08:15:00,10.11,61.27,Windy
2024-01-02 08:30:00,5.37,89.36,Windy
2024-01-02 08:45:00,11.21,44.67,Rainy
2024-01-02 09:00:00,15.81,40.38,Rainy
2024-01-02 09:15:00,6.27,55.34,Cloudy
2024-01-02 09:30:00,15.93,78.09,Sunny
2024-01-02 09:45:00,19.5,59.41,Sunny
2024-01-02 10:00:00,16.12,59.64,Windy
2024-01-02 10:15:00,16.0,64.6,Rainy
2024-01-02 10:30:00,5.49,89.42,Sunny
2024-01-02 10:45:00,18.43,72.12,Cloudy
2024-01-02 11:00:00,13.08,70.25,Sunny
2024-01-02 11:15:00,6.8,73.28,Windy
2024-01-02 11:30:00,18.96,72.01,Rainy
2024-01-02 11:45:00,10.47,67.1,Windy
2024-01-02 12:00:00,11.22,82.14,Rainy
2024-01-02 12:15:00,18.52,88.98,Rainy
2024-01-02 12:30:00,18.35,78.29,Cloudy
2024-01-02 12:45:00,6.13,72.47,Rainy
2024-01-02 13:00:00,10.65,48.23,Rainy
2024-01-02 13:15:00,15.7,44.33,Humid
2024-01-02 13:30:00,7.82,56.38,Humid
2024-01-02 13:45:00,5.91,66.51,Sunny
2024-01-02 14:00:00,6.81,82.3,Humid
2024-01-02 14:15:00,5.82,45.43,Humid
2024-01-02 14:30:00,12.81,59.16,Cloudy
2024-01-02 14:45:00,15.89,74.87,Cloudy
2024-01-02 15:00:00,16.22,69.1,Windy
2024-01-02 15:15:00,18.35,85.4,Sunny
2024-01-02 15:30:00,6.59,89.7,Humid
2024-01-02 15:45:00,13.12,41.41,Sunny
2024-01-02 16:00:00,15.32,56.32,Windy
2024-01-02 16:15:00,7.06,60.67,Humid
2024-01-02 16:30:00,14.5,57.49,Cloudy
2024-01-02 16:45:00,11.52,82.71,Humid
2024-01-02 17:00:00,16.31,47.17,Sunny
2024-01-02 17:15:00,14.57,60.95,Windy
2024-01-02 17:30:00,14.77,64.12,Sunny
2024-01-02 17:45:00,9.42,63.94,Windy
2024-01-02 18:00:00,5.73,46.03,Rainy
2024-01-02 18:15:00,15.09,53.72,Cloudy
2024-01-02 18:30:00,19.99,45.51,Cloudy
2024-01-02 18:45:00,19.68,77.53,Humid
2024-01-02 19:00:00,19.14,86.06,Humid
2024-01-02 19:15:00,12.39,77.25,Windy
2024-01-02 19:30:00,16.72,70.13,Cloudy
2024-01-02 19:45:00,12.29,59.61,Sunny
2024-01-02 20:00:00,5.54,40.6,Sunny
2024-01-02 20:15:00,15.82,65.41,Sunny
2024-01-02 20:30:00,9.73,64.02,Sunny
2024-01-02 20:45:00,17.8,84.93,Rainy
2024-01-02 21:00:00,19.48,65.33,Rainy
2024-01-02 21:15:00,18.28,73.18,Rainy
2024-01-02 21:30:00,6.61,61.21,Humid
2024-01-02 21:45:00,14.48,72.21,Cloudy
2024-01-02 22:00:00,5.56,81.11,Rainy
2024-01-02 22:15:00,19.63,49.5,Cloudy
2024-01-02 22:30:00,8.13,76.15,Windy
2024-01-02 22:45:00,5.31,89.91,Sunny
2024-01-02 23:00:00,8.48,62.49,Cloudy
2024-01-02 23:15:00,12.69,79.01,Humid
2024-01-02 23:30:00,9.44,81.42,Sunny
2024-01-02 23:45:00,8.81,56.93,Humid
2024-01-03 00:00:00,7.1,72.9,Humid
2024-01-03 00:15:00,13.73,74.72,Cloudy
2024-01-03 00:30:00,14.53,77.32,Sunny
2024-01-03 00:45:00,13.09,87.31,Windy
2024-01-03 01:00:00,14.85,41.71,Cloudy
2024-01-03 01:15:00,10.12,82.7,Windy
2024-01-03 01:30:00,17.6,45.47,Cloudy
2024-01-03 01:45:00,15.35,46.14,Rainy
2024-01-03 02:00:00,13.67,86.38,Windy
2024-01-03 02:15:00,16.74,45.43,Sunny
2024-01-03 02:30:00,15.17,66.56,Sunny
2024-01-03 02:45:00,7.13,56.84,Cloudy
2024-01-03 03:00:00,8.13,42.49,Sunny
2024-01-03 03:15:00,19.17,52.93,Sunny
2024-01-03 03:30:00,16.54,76.26,Humid
2024-01-03 03:45:00,15.66,73.89,Sunny
2024-01-03 04:00:00,8.23,68.73,Windy
2024-01-03 04:15:00,16.85,43.54,Cloudy
2024-01-03 04:30:00,12.38,74.04,Cloudy
2024-01-03 04:45:00,15.12,71.22,Sunny
2024-01-03 05:00:00,14.05,42.38,Sunny
2024-01-03 05:15:00,16.83,76.17,Sunny
2024-01-03 05:30:00,9.24,40.42,Sunny
2024-01-03 05:45:00,6.34,78.15,Humid
2024-01-03 06:00:00,14.56,72.2,Humid
2024-01-03 06:15:00,17.63,44.79,Windy
2024-01-03 06:30:00,13.82,86.34,Windy
2024-01-03 06:45:00,15.08,43.53,Cloudy
2024-01-03 07:00:00,14.75,60.77,Rainy
2024-01-03 07:15:00,16.06,84.94,Windy
2024-01-03 07:30:00,15.54,47.17,Sunny
2024-01-03 07:45:00,12.37,65.38,Cloudy
2024-01-03 08:00:00,8.94,67.27,Humid
2024-01-03 08:15:00,5.43,66.44,Rainy
2024-01-03 08:30:00,7.28,87.29,Rainy
2024-01-03 08:45:00,9.77,79.59,Cloudy
2024-01-03 09:00:00,17.96,55.24,Windy
2024-01-03 09:15:00,16.87,57.83,Humid
2024-01-03 09:30:00,6.47,51.97,Windy
2024-01-03 09:45:00,15.71,72.43,Sunny
2024-01-03 10:00:00,18.17,62.85,Cloudy
2024-01-03 10:15:00,17.63,67.7,Windy
2024-01-03 10:30:00,18.83,52.64,Windy
2024-01-03 10:45:00,17.59,51.16,Sunny
2024-01-03 11:00:00,7.72,66.85,Sunny
2024-01-03 11:15:00,14.65,61.98,Sunny
2024-01-03 11:30:00,17.98,46.87,Rainy
2024-01-03 11:45:00,15.15,57.44,Humid
2024-01-03 12:00:00,15.11,44.64,Cloudy
2024-01-03 12:15:00,14.3,68.0,Humid
2024-01-03 12:30:00,15.8,87.03,Cloudy
2024-01-03 12:45:00,11.84,45.21,Humid
2024-01-03 13:00:00,18.67,55.21,Rainy
2024-01-03 13:15:00,5.32,89.67,Cloudy
2024-01-03 13:30:00,18.7,80.84,Sunny
2024-01-03 13:45:00,9.94,85.16,Sunny
2024-01-03 14:00:00,17.13,85.17,Windy
2024-01-03 14:15:00,17.52,65.83,Windy
2024-01-03 14:30:00,19.14,42.67,Cloudy
2024-01-03 14:45:00,11.21,71.58,Windy
2024-01-03 15:00:00,15.06,60.16,Sunny
2024-01-03 15:15:00,14.03,84.75,Humid
2024-01-03 15:30:00,18.09,48.29,Sunny
2024-01-03 15:45:00,17.06,49.98,Humid
2024-01-03 16:00:00,16.09,69.81,Rainy
2024-01-03 16:15:00,14.08,64.78,Windy
2024-01-03 16:30:00,18.87,52.32,Humid
2024-01-03 16:45:00,5.34,48.67,Humid
2024-01-03 17:00:00,11.65,69.98,Cloudy
2024-01-03 17:15:00,9.11,66.76,Sunny
2024-01-03 17:30:00,14.83,51.22,Sunny
2024-01-03 17:45:00,14.23,57.23,Humid
2024-01-03 18:00:00,14.89,49.06,Rainy
2024-01-03 18:15:00,15.11,85.96,Rainy
2024-01-03 18:30:00,6.84,88.48,Rainy
2024-01-03 18:45:00,17.27,79.83,Windy
2024-01-03 19:00:00,6.49,58.1,Windy
2024-01-03 19:15:00,13.44,63.86,Windy
2024-01-03 19:30:00,10.33,58.51,Cloudy
2024-01-03 19:45:00,11.3,48.12,Humid
2024-01-03 20:00:00,9.55,69.79,Sunny
2024-01-03 20:15:00,11.33,57.92,Humid
2024-01-03 20:30:00,18.15,65.78,Cloudy
2024-01-03 20:45:00,11.28,57.02,Humid
2024-01-03 21:00:00,6.26,56.05,Rainy
2024-01-03 21:15:00,16.47,89.23,Sunny
2024-01-03 21:30:00,12.52,87.14,Humid
2024-01-03 21:45:00,15.52,67.99,Humid
2024-01-03 22:00:00,17.11,69.01,Windy
2024-01-03 22:15:00,10.52,47.21,Humid
2024-01-03 22:30:00,19.72,76.08,Humid
2024-01-03 22:45:00,5.15,84.12,Rainy
2024-01-03 23:00:00,12.04,65.43,Windy
2024-01-03 23:15:00,16.76,69.01,Windy
2024-01-03 23:30:00,17.99,49.49,Cloudy
2024-01-03 23:45:00,18.27,52.66,Windy
2024-01-04 00:00:00,11.79,42.45,Cloudy
2024-01-04 00:15:00,19.61,67.7,Humid
2024-01-04 00:30:00,14.57,62.02,Cloudy
2024-01-04 00:45:00,11.34,69.23,Cloudy
2024-01-04 01:00:00,9.62,82.9,Cloudy
2024-01-04 01:15:00,12.38,77.53,Rainy
2024-01-04 01:30:00,5.25,60.51,Cloudy
2024-01-04 01:45:00,5.04,60.42,Sunny
2024-01-04 02:00:00,17.0,83.21,Sunny
2024-01-04 02:15:00,7.52,43.19,Windy
2024-01-04 02:30:00,13.49,78.72,Rainy
2024-01-04 02:45:00,18.72,67.16,Sunny
2024-01-04 03:00:00,8.83,52.89,Sunny
2024-01-04 03:15:00,19.9,40.46,Windy
2024-01-04 03:30:00,7.03,69.42,Windy
2024-01-04 03:45:00,7.29,47.06,Cloudy
2024-01-04 04:00:00,5.08,86.89,Cloudy
2024-01-04 04:15:00,18.65,60.59,Rainy
2024-01-04 04:30:00,10.43,57.15,Rainy
2024-01-04 04:45:00,17.51,83.22,Rainy
2024-01-04 05:00:00,18.12,44.94,Windy
2024-01-04 05:15:00,13.44,67.52,Cloudy
2024-01-04 05:30:00,10.25,77.69,Humid
2024-01-04 05:45:00,9.26,50.84,Rainy
2024-01-04 06:00:00,15.09,82.66,Humid
2024-01-04 06:15:00,19.87,75.06,Humid
2024-01-04 06:30:00,5.03,56.54,Sunny
2024-01-04 06:45:00,5.76,45.61,Rainy
2024-01-04 07:00:00,7.92,46.85,Cloudy
2024-01-04 07:15:00,8.23,77.67,Windy
2024-01-04 07:30:00,13.23,83.92,Rainy
2024-01-04 07:45:00,13.45,89.11,Cloudy
2024-01-04 08:00:00,16.98,49.48,Rainy
2024-01-04 08:15:00,9.53,40.78,Rainy
2024-01-04 08:30:00,5.76,74.97,Humid
2024-01-04 08:45:00,7.83,83.35,Rainy
2024-01-04 09:00:00,19.49,49.79,Sunny
2024-01-04 09:15:00,5.08,48.63,Cloudy
2024-01-04 09:30:00,11.93,53.77,Cloudy
2024-01-04 09:45:00,15.82,47.09,Cloudy
2024-01-04 10:00:00,15.56,80.27,Sunny
2024-01-04 10:15:00,11.2,51.04,Cloudy
2024-01-04 10:30:00,17.84,78.73,Sunny
2024-01-04 10:45:00,17.05,46.5,Windy
2024-01-04 11:00:00,19.7,69.14,Cloudy
2024-01-04 11:15:00,11.25,72.39,Windy
2024-01-04 11:30:00,14.21,50.71,Humid
2024-01-04 11:45:00,16.91,73.71,Windy
2024-01-04 12:00:00,11.95,88.58,Rainy
2024-01-04 12:15:00,10.08,60.64,Humid
2024-01-04 12:30:00,13.39,59.19,Humid
2024-01-04 12:45:00,18.0,73.17,Humid
2024-01-04 13:00:00,17.9,83.5,Sunny
2024-01-04 13:15:00,12.66,71.52,Cloudy
2024-01-04 13:30:00,13.46,48.62,Humid
2024-01-04 13:45:00,11.02,74.05,Sunny
2024-01-04 14:00:00,18.12,74.45,Cloudy
2024-01-04 14:15:00,13.8,76.43,Windy
2024-01-04 14:30:00,10.98,68.56,Humid
2024-01-04 14:45:00,10.27,59.23,Sunny
2024-01-04 15:00:00,16.2,66.54,Humid
2024-01-04 15:15:00,15.32,73.43,Rainy
2024-01-04 15:30:00,19.06,54.65,Rainy
2024-01-04 15:45:00,10.21,77.41,Cloudy
2024-01-04 16:00:00,7.65,67.31,Cloudy
