timestamp,device_id,power_consumption,device_status
2024-01-01 00:00:00,device_16,1104.05,0
2024-01-01 00:15:00,device_63,1061.01,0
2024-01-01 00:30:00,device_83,1846.56,0
2024-01-01 00:45:00,device_88,1822.63,1
2024-01-01 01:00:00,device_19,1861.62,0
2024-01-01 01:15:00,device_22,1849.15,1
2024-01-01 01:30:00,device_82,150.58,1
2024-01-01 01:45:00,device_24,700.43,1
2024-01-01 02:00:00,device_4,1886.34,1
2024-01-01 02:15:00,device_76,1344.61,1
2024-01-01 02:30:00,device_95,1076.81,1
2024-01-01 02:45:00,device_24,1198.58,0
2024-01-01 03:00:00,device_11,870.8,0
2024-01-01 03:15:00,device_40,1585.34,1
2024-01-01 03:30:00,device_61,1899.65,0
2024-01-01 03:45:00,device_85,106.13,0
2024-01-01 04:00:00,device_74,44.35,0
2024-01-01 04:15:00,device_68,1361.94,1
2024-01-01 04:30:00,device_39,1692.27,1
2024-01-01 04:45:00,device_59,146.19,0
2024-01-01 05:00:00,device_80,78.94,1
2024-01-01 05:15:00,device_98,452.63,0
2024-01-01 05:30:00,device_54,30.18,1
2024-01-01 05:45:00,device_38,1501.84,1
2024-01-01 06:00:00,device_61,1430.36,1
2024-01-01 06:15:00,device_90,676.07,0
2024-01-01 06:30:00,device_41,1710.63,0
2024-01-01 06:45:00,device_19,836.84,1
2024-01-01 07:00:00,device_3,237.35,0
2024-01-01 07:15:00,device_52,1680.64,1
2024-01-01 07:30:00,device_55,1061.37,0
2024-01-01 07:45:00,device_22,1371.21,1
2024-01-01 08:00:00,device_74,1248.22,1
2024-01-01 08:15:00,device_77,1075.62,0
2024-01-01 08:30:00,device_40,748.99,1
2024-01-01 08:45:00,device_59,1054.94,1
2024-01-01 09:00:00,device_36,204.81,1
2024-01-01 09:15:00,device_40,908.72,1
2024-01-01 09:30:00,device_64,1267.0,1
2024-01-01 09:45:00,device_27,1115.44,0
2024-01-01 10:00:00,device_1,1434.17,0
2024-01-01 10:15:00,device_52,173.24,1
2024-01-01 10:30:00,device_6,1287.8,1
2024-01-01 10:45:00,device_66,547.69,0
2024-01-01 11:00:00,device_6,479.15,1
2024-01-01 11:15:00,device_12,1430.02,1
2024-01-01 11:30:00,device_38,1019.63,0
2024-01-01 11:45:00,device_79,517.35,0
2024-01-01 12:00:00,device_23,1897.05,0
2024-01-01 12:15:00,device_17,34.24,0
2024-01-01 12:30:00,device_50,287.48,0
2024-01-01 12:45:00,device_11,1057.41,0
2024-01-01 13:00:00,device_84,1187.05,1
2024-01-01 13:15:00,device_16,741.84,0
2024-01-01 13:30:00,device_33,1624.13,0
2024-01-01 13:45:00,device_95,1775.15,0
2024-01-01 14:00:00,device_15,1824.33,0
2024-01-01 14:15:00,device_35,976.96,0
2024-01-01 14:30:00,device_2,811.36,1
2024-01-01 14:45:00,device_65,1805.18,1
2024-01-01 15:00:00,device_82,1847.27,1
2024-01-01 15:15:00,device_29,1399.4,0
2024-01-01 15:30:00,device_96,1427.77,1
2024-01-01 15:45:00,device_91,1516.76,1
2024-01-01 16:00:00,device_99,1887.63,0
2024-01-01 16:15:00,device_68,810.0,1
2024-01-01 16:30:00,device_48,131.84,1
2024-01-01 16:45:00,device_89,1616.05,1
2024-01-01 17:00:00,device_26,914.48,0
2024-01-01 17:15:00,device_59,620.39,1
2024-01-01 17:30:00,device_100,676.21,0
2024-01-01 17:45:00,device_15,1076.34,1
2024-01-01 18:00:00,device_39,924.31,1
2024-01-01 18:15:00,device_39,135.89,1
2024-01-01 18:30:00,device_84,560.3,0
2024-01-01 18:45:00,device_33,1061.22,0
2024-01-01 19:00:00,device_50,1745.07,0
2024-01-01 19:15:00,device_27,937.99,1
2024-01-01 19:30:00,device_88,1514.97,0
2024-01-01 19:45:00,device_69,188.87,1
2024-01-01 20:00:00,device_52,868.28,0
2024-01-01 20:15:00,device_1,1626.72,1
2024-01-01 20:30:00,device_4,1837.77,0
2024-01-01 20:45:00,device_27,1525.19,1
2024-01-01 21:00:00,device_36,1628.77,1
2024-01-01 21:15:00,device_100,1549.65,1
2024-01-01 21:30:00,device_81,1320.95,0
2024-01-01 21:45:00,device_18,1227.17,0
2024-01-01 22:00:00,device_70,1944.64,1
2024-01-01 22:15:00,device_73,1341.31,0
2024-01-01 22:30:00,device_22,1077.16,0
2024-01-01 22:45:00,device_36,409.27,1
2024-01-01 23:00:00,device_33,1541.35,1
2024-01-01 23:15:00,device_79,1212.19,0
2024-01-01 23:30:00,device_44,1677.56,0
2024-01-01 23:45:00,device_54,455.86,0
2024-01-02 00:00:00,device_82,1058.48,1
2024-01-02 00:15:00,device_21,1990.6,0
2024-01-02 00:30:00,device_26,557.92,1
2024-01-02 00:45:00,device_82,1467.5,1
2024-01-02 01:00:00,device_5,745.06,1
2024-01-02 01:15:00,device_33,157.89,0
2024-01-02 01:30:00,device_55,1879.28,1
2024-01-02 01:45:00,device_22,1807.67,1
2024-01-02 02:00:00,device_8,577.62,0
2024-01-02 02:15:00,device_56,682.15,1
2024-01-02 02:30:00,device_43,801.74,0
2024-01-02 02:45:00,device_31,1999.24,0
2024-01-02 03:00:00,device_99,486.58,0
2024-01-02 03:15:00,device_94,906.06,1
2024-01-02 03:30:00,device_30,1898.4,0
2024-01-02 03:45:00,device_48,723.21,1
2024-01-02 04:00:00,device_2,1118.33,0
2024-01-02 04:15:00,device_3,537.31,0
2024-01-02 04:30:00,device_96,306.91,1
2024-01-02 04:45:00,device_5,848.34,0
2024-01-02 05:00:00,device_28,1218.07,1
2024-01-02 05:15:00,device_82,177.4,0
2024-01-02 05:30:00,device_21,680.57,0
2024-01-02 05:45:00,device_82,1080.52,0
2024-01-02 06:00:00,device_54,392.87,1
2024-01-02 06:15:00,device_92,1384.57,0
2024-01-02 06:30:00,device_69,1122.33,1
2024-01-02 06:45:00,device_8,1991.53,0
2024-01-02 07:00:00,device_11,1481.94,0
2024-01-02 07:15:00,device_42,1297.25,0
2024-01-02 07:30:00,device_14,1363.8,1
2024-01-02 07:45:00,device_59,940.63,1
2024-01-02 08:00:00,device_55,1045.82,0
2024-01-02 08:15:00,device_37,1281.32,0
2024-01-02 08:30:00,device_10,1079.04,1
2024-01-02 08:45:00,device_31,543.41,0
2024-01-02 09:00:00,device_96,1797.86,1
2024-01-02 09:15:00,device_71,486.52,1
2024-01-02 09:30:00,device_59,1125.53,0
2024-01-02 09:45:00,device_32,1093.64,0
2024-01-02 10:00:00,device_92,732.31,1
2024-01-02 10:15:00,device_39,713.91,1
2024-01-02 10:30:00,device_49,49.62,1
2024-01-02 10:45:00,device_52,722.64,1
2024-01-02 11:00:00,device_80,1416.76,0
2024-01-02 11:15:00,device_70,361.1,1
2024-01-02 11:30:00,device_17,1417.67,1
2024-01-02 11:45:00,device_65,765.0,1
2024-01-02 12:00:00,device_99,675.74,1
2024-01-02 12:15:00,device_28,78.62,0
2024-01-02 12:30:00,device_16,183.85,0
2024-01-02 12:45:00,device_22,1599.81,1
2024-01-02 13:00:00,device_68,47.42,0
2024-01-02 13:15:00,device_41,608.35,1
2024-01-02 13:30:00,device_94,1803.8,1
2024-01-02 13:45:00,device_50,1154.67,0
2024-01-02 14:00:00,device_96,1346.7,1
2024-01-02 14:15:00,device_76,1965.39,0
2024-01-02 14:30:00,device_71,411.4,1
2024-01-02 14:45:00,device_32,1668.99,1
