timestamp,room_id,temperature,humidity,weather_condition
2024-01-01 00:00:00,room_4,12.86,72.75,Sunny
2024-01-01 00:15:00,room_2,5.16,59.75,Rainy
2024-01-01 00:30:00,room_1,15.52,52.48,Humid
2024-01-01 00:45:00,room_0,7.41,67.08,Windy
2024-01-01 01:00:00,room_3,19.99,77.86,Humid
2024-01-01 01:15:00,room_1,12.94,42.65,Humid
2024-01-01 01:30:00,room_2,16.28,42.0,Windy
2024-01-01 01:45:00,room_2,6.94,66.25,Cloudy
2024-01-01 02:00:00,room_1,8.74,82.91,Humid
2024-01-01 02:15:00,room_4,11.27,40.28,Humid
2024-01-01 02:30:00,room_4,11.98,87.49,Rainy
2024-01-01 02:45:00,room_2,18.31,40.33,Windy
2024-01-01 03:00:00,room_4,11.32,87.02,Rainy
2024-01-01 03:15:00,room_1,11.05,89.46,Humid
2024-01-01 03:30:00,room_1,11.29,78.17,Cloudy
2024-01-01 03:45:00,room_0,14.26,89.89,Cloudy
2024-01-01 04:00:00,room_2,8.81,49.07,Sunny
2024-01-01 04:15:00,room_2,18.78,85.7,Sunny
2024-01-01 04:30:00,room_3,6.27,74.94,Sunny
2024-01-01 04:45:00,room_0,8.63,68.7,Rainy
2024-01-01 05:00:00,room_4,14.69,69.24,Windy
2024-01-01 05:15:00,room_2,10.22,41.77,Humid
2024-01-01 05:30:00,room_4,6.18,73.73,Windy
2024-01-01 05:45:00,room_3,16.75,52.19,Humid
2024-01-01 06:00:00,room_2,11.99,49.31,Rainy
2024-01-01 06:15:00,room_2,8.72,62.99,Sunny
2024-01-01 06:30:00,room_1,18.58,45.8,Rainy
2024-01-01 06:45:00,room_2,6.1,73.57,Humid
2024-01-01 07:00:00,room_1,19.95,75.29,Cloudy
2024-01-01 07:15:00,room_0,13.61,57.88,Sunny
2024-01-01 07:30:00,room_0,16.1,62.27,Cloudy
2024-01-01 07:45:00,room_2,17.98,56.11,Windy
2024-01-01 08:00:00,room_2,12.11,76.36,Cloudy
2024-01-01 08:15:00,room_0,14.06,78.87,Rainy
2024-01-01 08:30:00,room_4,5.31,89.48,Rainy
2024-01-01 08:45:00,room_2,17.64,85.1,Rainy
2024-01-01 09:00:00,room_2,17.39,54.37,Humid
2024-01-01 09:15:00,room_2,5.47,89.56,Humid
2024-01-01 09:30:00,room_2,9.73,68.89,Windy
2024-01-01 09:45:00,room_1,8.37,67.88,Windy
2024-01-01 10:00:00,room_3,7.91,61.03,Humid
2024-01-01 10:15:00,room_3,7.74,43.09,Cloudy
2024-01-01 10:30:00,room_2,12.19,50.46,Cloudy
2024-01-01 10:45:00,room_0,5.39,47.92,Sunny
2024-01-01 11:00:00,room_0,17.36,52.4,Cloudy
2024-01-01 11:15:00,room_3,12.44,81.2,Sunny
2024-01-01 11:30:00,room_0,14.89,83.87,Cloudy
2024-01-01 11:45:00,room_2,18.84,51.24,Humid
2024-01-01 12:00:00,room_2,13.39,56.67,Humid
2024-01-01 12:15:00,room_4,17.88,65.34,Cloudy
2024-01-01 12:30:00,room_4,15.75,65.12,Rainy
2024-01-01 12:45:00,room_0,15.04,80.22,Windy
2024-01-01 13:00:00,room_3,7.57,83.41,Sunny
2024-01-01 13:15:00,room_4,19.37,75.62,Cloudy
2024-01-01 13:30:00,room_1,16.77,86.08,Rainy
2024-01-01 13:45:00,room_2,16.38,79.66,Sunny
2024-01-01 14:00:00,room_2,17.91,57.61,Cloudy
2024-01-01 14:15:00,room_3,10.77,65.68,Cloudy
2024-01-01 14:30:00,room_3,12.21,50.07,Windy
2024-01-01 14:45:00,room_2,19.93,81.36,Cloudy
2024-01-01 15:00:00,room_0,16.89,86.24,Humid
2024-01-01 15:15:00,room_4,11.49,64.43,Sunny
2024-01-01 15:30:00,room_4,6.73,87.22,Rainy
2024-01-01 15:45:00,room_0,18.88,54.48,Humid
2024-01-01 16:00:00,room_3,5.5,70.86,Cloudy
2024-01-01 16:15:00,room_3,7.66,45.51,Humid
2024-01-01 16:30:00,room_1,13.64,62.68,Windy
2024-01-01 16:45:00,room_2,8.61,84.16,Humid
2024-01-01 17:00:00,room_2,7.27,89.37,Rainy
2024-01-01 17:15:00,room_4,15.05,74.53,Sunny
2024-01-01 17:30:00,room_0,7.32,77.9,Humid
2024-01-01 17:45:00,room_1,9.36,53.96,Cloudy
2024-01-01 18:00:00,room_0,15.38,42.25,Humid
2024-01-01 18:15:00,room_0,5.73,81.82,Sunny
2024-01-01 18:30:00,room_3,13.02,47.52,Windy
2024-01-01 18:45:00,room_3,5.94,64.43,Sunny
2024-01-01 19:00:00,room_0,15.81,72.4,Windy
2024-01-01 19:15:00,room_2,6.17,73.2,Cloudy
2024-01-01 19:30:00,room_3,5.75,61.14,Humid
2024-01-01 19:45:00,room_3,19.02,49.66,Rainy
2024-01-01 20:00:00,room_0,10.58,55.99,Cloudy
2024-01-01 20:15:00,room_2,8.33,78.61,Cloudy
2024-01-01 20:30:00,room_3,7.19,66.52,Cloudy
2024-01-01 20:45:00,room_4,8.24,88.36,Cloudy
2024-01-01 21:00:00,room_4,18.71,89.76,Rainy
2024-01-01 21:15:00,room_1,13.36,65.72,Humid
2024-01-01 21:30:00,room_0,12.95,46.57,Cloudy
2024-01-01 21:45:00,room_3,19.11,78.74,Humid
2024-01-01 22:00:00,room_1,14.4,60.36,Sunny
2024-01-01 22:15:00,room_0,11.71,40.07,Humid
